GDP.proj,2020,2030,2040,2050,2060,2070,2080,2090,2100
ABW,42804,50908,59608,68065,76461,85559,95448,106180,118041
AFG,1415,1856,2491,3387,4616,6270,8465,11350,15037
AGO,7729,10388,12559,14819,17339,20075,23115,26557,30475
ALB,10509,14125,17077,20150,23576,27296,31430,36111,41438
AND,67990,80863,94682,108114,121450,135902,151608,168656,187495
ARE,52767,62758,73483,83907,94257,105473,117663,130894,145515
ARG,16863,21030,24943,29807,35216,41169,47879,55039,62601
ARM,13116,23335,28518,31423,34589,38865,44260,50289,56963
ATG,18215,21663,25365,28964,32537,36408,40616,45183,50230
AUS,52690,65357,75551,83466,90373,97449,104362,111270,118602
AUT,39412,41583,45428,50412,56090,62327,68926,76124,84117
AZE,29489,33565,34927,39234,43847,46659,47887,49812,54251
BDI,492,682,854,1057,1416,2010,2865,4063,5750
BEL,45287,62271,76726,88046,98126,108369,118994,130584,143539
BEN,1221,1516,1939,2540,3376,4486,5963,7955,10562
BFA,847,946,1142,1465,2008,2851,4054,5697,7981
BGD,1886,2311,2926,3828,5099,6793,9107,12305,15609
BGR,16380,20231,22959,25593,28307,31070,34039,37730,42143
BHR,34278,41186,47967,55211,62234,68658,74374,79831,85351
BHS,31982,38355,45731,53450,61122,69348,78131,87369,97325
BIH,14378,21063,26198,30832,35424,40573,46428,52785,59750
BLR,22025,25839,28221,31121,34641,39191,44535,50491,57251
BLZ,9967,12368,14741,17421,20716,24812,29356,34823,43444
BMU,99456,118287,138501,158150,177658,198799,221774,246712,274269
BOL,4545,5522,7275,9797,12881,16168,19547,22903,26170
BRA,12250,14920,17850,22620,28571,34038,39794,46412,53807
BRB,19312,18137,20653,25102,29857,34786,40674,47621,55132
BRN,28540,19723,19330,22216,27644,33945,39884,46257,53381
BTN,8894,14026,17194,21013,26978,34011,41385,49312,57542
BWA,12076,18063,24611,30676,36377,42644,49370,56347,63581
CAF,816,1038,1364,1831,2506,3494,4904,6845,9399
CAN,41385,49637,57139,63353,69312,75995,82848,89942,97738
CHE,43137,47111,52509,58854,65554,72735,80298,88605,97774
CHL,14636,17898,21952,26040,29611,32878,36763,41374,46276
CHN,17506,27361,34370,39917,44806,49267,53694,58134,62374
CIV,1369,1634,2259,3321,4824,6715,9046,12236,16017
CMR,2127,2812,3783,5072,6759,8918,11543,15425,20203
