"female_10.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.007558798,0.007060436,0.006562074,0.006063712,0.00556535,0.005066988,0.00477044,0.004473893,0.004177345,0.003880797,0.00358425,0.003423814,0.003263378,0.003102942,0.002942507,0.002782071,0.002596111,0.002410151,0.002224191,0.002038232,0.001852272,0.001775058,0.001697843,0.001620629,0.001543415,0.001466201,0.001431737,0.001397273,0.00136281,0.001328346,0.001293882,0.001276991,0.0012601,0.001243209,0.001226318,0.001209427,0.001203968,0.001198508,0.001193048,0.001187589,0.001182129,0.001176755,0.001171382,0.001166008,0.001160635,0.001155261,0.001150217,0.001145174,0.00114013,0.001135087,0.001130043,0.001112066,0.001094089,0.001076112,0.001058135,0.001040158,0.001025476,0.001010795,0.000996113,0.000981432,0.000966751,0.000952069,0.000937388,0.000922706,0.000908025,0.000893343
"AFG",0.039997179,0.039264396,0.038531613,0.03779883,0.037066047,0.036333264,0.035722383,0.035111502,0.034500622,0.033889741,0.03327886,0.032735763,0.032192667,0.03164957,0.031106474,0.030563377,0.030033688,0.029503999,0.028974309,0.02844462,0.027914931,0.027348842,0.026782753,0.026216663,0.025650574,0.025084485,0.02443637,0.023788255,0.023140139,0.022492024,0.021843909,0.02104979,0.02025567,0.019461551,0.018667431,0.017873312,0.017105281,0.01633725,0.015569218,0.014801187,0.014033156,0.013627655,0.013222154,0.012816654,0.012411153,0.012005652,0.011591675,0.011177699,0.010763722,0.010349746,0.009935769,0.009500195,0.00906462,0.008629045,0.00819347,0.007757895,0.007468168,0.007178441,0.006888714,0.006598987,0.006309261,0.006019534,0.005729807,0.00544008,0.005150353,0.004860626
"AGO",0.041374299,0.04101087,0.040647441,0.040284013,0.039920584,0.039557155,0.039094177,0.038631199,0.038168222,0.037705244,0.037242266,0.036694067,0.036145868,0.03559767,0.035049471,0.034501272,0.033982244,0.033463216,0.032944189,0.032425161,0.031906133,0.031414758,0.030923383,0.030432009,0.029940634,0.029449259,0.029167576,0.028885892,0.028604209,0.028322525,0.028040842,0.027879877,0.027718912,0.027557948,0.027396983,0.027236018,0.027012089,0.02678816,0.026564232,0.026340303,0.026116374,0.025580545,0.025044715,0.024508886,0.023973056,0.023437227,0.022334788,0.021232349,0.020129911,0.019027472,0.017925033,0.016889998,0.015854963,0.014819928,0.013784893,0.012749858,0.012000709,0.01125156,0.010502411,0.009753262,0.009004113,0.008254963,0.007505814,0.006756665,0.006007516,0.005258367
"ALB",0.007693366,0.007245718,0.00679807,0.006350422,0.005902774,0.005455126,0.004904318,0.00435351,0.003802702,0.003251895,0.002701087,0.002799288,0.00289749,0.002995692,0.003093894,0.003192095,0.003139229,0.003086363,0.003033496,0.00298063,0.002927764,0.002828114,0.002728464,0.002628814,0.002529165,0.002429515,0.002315826,0.002202137,0.002088448,0.00197476,0.001861071,0.001766659,0.001672246,0.001577834,0.001483422,0.00138901,0.001441347,0.001493683,0.00154602,0.001598357,0.001650694,0.001570813,0.001490932,0.00141105,0.001331169,0.001251288,0.00121092,0.001170552,0.001130185,0.001089817,0.001049449,0.001039459,0.00102947,0.00101948,0.00100949,0.0009995,0.000939551,0.000879602,0.000819653,0.000759704,0.000699755,0.000639806,0.000579857,0.000519908,0.000459959,0.00040001
"ARE",0.015652,0.0147174,0.0137828,0.0128482,0.0119136,0.010979,0.0103292,0.0096794,0.0090296,0.0083798,0.00773,0.007284,0.006838,0.006392,0.005946,0.0055,0.0051944,0.0048888,0.0045832,0.0042776,0.003972,0.0037628,0.0035536,0.0033444,0.0031352,0.002926,0.0027844,0.0026428,0.0025012,0.0023596,0.002218,0.0021212,0.0020244,0.0019276,0.0018308,0.001734,0.001668,0.001602,0.001536,0.00147,0.001404,0.001353,0.001302,0.001251,0.0012,0.001149,0.001105114,0.001061227,0.001017341,0.000973454,0.000929568,0.000891599,0.000853631,0.000815663,0.000777695,0.000739726,0.000721345,0.000702964,0.000684583,0.000666201,0.00064782,0.000629439,0.000611058,0.000592676,0.000574295,0.000555914
"ARG",0.00425,0.004032,0.003814,0.003596,0.003378,0.00316,0.003088,0.003016,0.002944,0.002872,0.0028,0.00275,0.0027,0.00265,0.0026,0.00255,0.002498,0.002446,0.002394,0.002342,0.00229,0.002242,0.002194,0.002146,0.002098,0.00205,0.001988,0.001926,0.001864,0.001802,0.00174,0.001712,0.001684,0.001656,0.001628,0.0016,0.00155,0.0015,0.00145,0.0014,0.00135,0.00132,0.00129,0.00126,0.00123,0.0012,0.001186,0.001172,0.001158,0.001144,0.00113,0.001133969,0.001137939,0.001141908,0.001145877,0.001149846,0.001133595,0.001117343,0.001101092,0.00108484,0.001068589,0.001052337,0.001036086,0.001019834,0.001003583,0.000987331
"ARM",0.001472363,0.001400208,0.001328053,0.001255898,0.001183743,0.001111589,0.001053101,0.000994614,0.000936127,0.00087764,0.000819152,0.000778029,0.000736906,0.000695783,0.000654659,0.000613536,0.000590326,0.000567116,0.000543906,0.000520696,0.000497486,0.000502283,0.000507081,0.000511879,0.000516677,0.000521475,0.000519893,0.000518312,0.00051673,0.000515149,0.000513567,0.000603418,0.000693269,0.00078312,0.000872971,0.000962821,0.000964824,0.000966828,0.000968831,0.000970834,0.000972837,0.00094018,0.000907523,0.000874866,0.000842209,0.000809552,0.000771092,0.000732632,0.000694172,0.000655712,0.000617252,0.000641547,0.000665842,0.000690137,0.000714432,0.000738727,0.000773398,0.00080807,0.000842741,0.000877412,0.000912084,0.000946755,0.000981427,0.001016098,0.001050769,0.001085441
"ATG",0.00152934,0.001564458,0.001599576,0.001634694,0.001669812,0.00170493,0.001718968,0.001733006,0.001747044,0.001761082,0.00177512,0.00177635,0.00177758,0.00177881,0.00178004,0.00178127,0.00177279,0.00176431,0.00175583,0.00174735,0.00173887,0.00172299,0.00170711,0.00169123,0.00167535,0.00165947,0.00164093,0.00162239,0.00160385,0.00158531,0.00156677,0.001546186,0.001525602,0.001505018,0.001484434,0.00146385,0.0014431,0.00142235,0.0014016,0.00138085,0.0013601,0.001340634,0.001321168,0.001301702,0.001282236,0.00126277,0.00124291,0.00122305,0.00120319,0.00118333,0.00116347,0.001144016,0.001124562,0.001105108,0.001085654,0.0010662,0.0010447,0.0010232,0.0010017,0.0009802,0.000958701,0.000937201,0.000915701,0.000894201,0.000872701,0.000851201
"AUS",0.002157714,0.002071875,0.001986036,0.001900196,0.001814357,0.001728517,0.001673612,0.001618706,0.0015638,0.001508895,0.001453989,0.001429026,0.001404062,0.001379099,0.001354135,0.001329172,0.00131719,0.001305208,0.001293225,0.001281243,0.001269261,0.0012313,0.001193338,0.001155377,0.001117415,0.001079454,0.001052479,0.001025505,0.00099853,0.000971556,0.000944582,0.000902615,0.000860648,0.000818681,0.000776715,0.000734748,0.000743746,0.000752744,0.000761742,0.000770739,0.000779737,0.000764746,0.000749755,0.000734764,0.000719772,0.000704781,0.000667801,0.000630821,0.000593841,0.000556862,0.000519882,0.000503888,0.000487894,0.000471901,0.000455907,0.000439913,0.000441515,0.000443116,0.000444717,0.000446318,0.000447919,0.00044952,0.000451121,0.000452722,0.000454323,0.000455924
"AUT",0.002352329,0.002269501,0.002186673,0.002103844,0.002021016,0.001938188,0.001869299,0.001800411,0.001731522,0.001662634,0.001593745,0.001584749,0.001575752,0.001566756,0.001557759,0.001548763,0.001529813,0.001510864,0.001491914,0.001472965,0.001454015,0.001380098,0.001306181,0.001232265,0.001158348,0.001084431,0.001078441,0.001072451,0.001066462,0.001060472,0.001054482,0.00098154,0.000908597,0.000835655,0.000762712,0.00068977,0.000691771,0.000693772,0.000695774,0.000697775,0.000699776,0.000677789,0.000655802,0.000633815,0.000611828,0.000589841,0.00059484,0.00059984,0.000604839,0.000609839,0.000614838,0.000582854,0.000550871,0.000518887,0.000486904,0.00045492,0.000452916,0.000450912,0.000448909,0.000446905,0.000444901,0.000442897,0.000440893,0.00043889,0.000436886,0.000434882
"AZE",0.003926242,0.003784032,0.003641821,0.003499611,0.0033574,0.00321519,0.00316161,0.00310803,0.00305445,0.003000869,0.002947289,0.002893695,0.0028401,0.002786506,0.002732911,0.002679317,0.002625708,0.002572099,0.00251849,0.002464882,0.002411273,0.00235765,0.002304026,0.002250403,0.00219678,0.002143157,0.002089519,0.002035881,0.001982244,0.001928606,0.001874968,0.001821316,0.001767664,0.001714012,0.00166036,0.001606708,0.001639652,0.001672597,0.001705541,0.001738485,0.00177143,0.001763308,0.001755186,0.001747065,0.001738943,0.001730822,0.001704061,0.001677301,0.001650541,0.001623781,0.00159702,0.001564075,0.001531129,0.001498184,0.001465238,0.001432293,0.001406271,0.00138025,0.001354229,0.001328208,0.001302187,0.001276165,0.001250144,0.001224123,0.001198102,0.001172081
