"","country","Base","Max","Min","Max.Base","Max.Min","Growth","Max.Var","Min.Var"
"1","ABW",96233,102403,93911,6170,2322,-8108,3,0.4
"2","AFG",79826874,92354630,58672849,12527756,21154025,46090380,0,3
"3","AGO",49049314,65802847,42200825,16753533,6848489,21190009,0,2.5
"4","ALB",2997230,3143051,2935568,145821,61662,116527,1.8,0
"5","ARE",17004307,17503931,16446896,499624,557411,7850005,2.8,0.3
"6","ARG",52346005,54817946,50345970,2471941,2000035,8928240,1.4,0.5
"7","ARM",2667464,3086212,2650151,418748,17313,-249486,2.8,0.9
"8","ATG",113921,118727,110075,4806,3846,13998,1.6,0.5
"9","AUS",28334128,28884023,27334888,549895,999240,4544790,1.4,0
"10","AUT",8073251,8095818,7881510,22567,191741,-559918,0.8,0
"11","AZE",10987952,12762392,10269218,1774440,718734,1338611,2.3,0.5
"12","BDI",22376757,27604372,17724327,5227615,4652430,12177487,0,3
"13","BEL",11982308,12072132,11170959,89824,811349,708112,3,0
"14","BEN",20447037,23799519,18684669,3352482,1762368,9871085,0,3
"15","BFA",44800230,48802414,39921312,4002184,4878918,26689606,0,3
"16","BGD",211881523,220406273,209245179,8524750,2636344,50680637,0,3
"17","BGR",5561177,5809440,5532534,248263,28643,-1616814,2.8,0.6
"18","BHR",2318142,2394452,2258006,76310,60136,946287,2.9,0.2
"19","BHS",459755,474901,442280,15146,17475,72917,3,0.1
"20","BIH",3121423,3264911,3009408,143488,112015,-414538,2.3,0
"21","BLR",8045704,9175816,7789819,1130112,255885,-1443912,2.4,0.2
"22","BLZ",475203,567042,441265,91839,33938,115915,0.1,3
"23","BOL",15570916,16465311,14574341,894395,996575,4846211,0,3
"24","BRA",232581923,237112590,230029350,4530667,2552573,26619815,3,2.2
"25","BRB",271541,282396,271027,10855,514,-12676,0.2,0.9
"26","BRN",561338,566014,491733,4676,69605,143796,1.3,3
"27","BTN",822944,1069247,732032,246303,90912,35558,0,1.7
"28","BWA",3204896,3386979,2931913,182083,272983,995699,2.4,0.1
"29","CAF",7932764,8470213,7356542,537449,576222,3386664,0,2.9
"30","CAN",37810887,38026418,35766441,215531,2044446,1962277,2.7,0
"31","CHE",8498937,8646499,8256995,147562,241942,216541,3,0
"32","CHL",19208878,19868475,18886756,659597,322122,1446197,2.5,0.1
"33","CHN",1282067659,1490489818,1276229808,208422159,5837851,-89152341,3,0.9
"34","CIV",45220204,49556836,38918833,4336632,6301371,22111732,0.3,3
"35","CMR",41845358,50348883,37762603,8503525,4082755,19010836,0,2.6
"36","COD",143936095,210465632,111226396,66529537,32709699,67739476,0,2.2
"37","COG",8615325,10669425,7365609,2054100,1249716,3619677,0,2.6
"38","COL",55968412,56401469,54159138,433057,1809274,7739715,0,2.7
"39","COM",1592634,1824356,1302291,231722,290343,815210,0,3
"40","CPV",695606,781428,639031,85822,56575,162693,0,3
"41","CRI",5535479,5663289,5355421,127810,180058,727627,0,2.6
"42","CUB",11256196,11770904,10873299,514708,382897,-205236,2.1,0.2
"43","CYP",1235103,1263145,1208574,28042,26529,74118,2.2,0.4
"44","CZE",9273539,9273539,9077074,0,196465,-1272520,1,2.6
"45","DEU",72141655,72461396,70618895,319741,1522760,-9544956,0.7,0
"46","DJI",1506968,1542544,1480088,35576,26880,579554,0,3
"47","DNK",5567046,5623210,5461707,56164,105339,-116437,3,0.1
"48","DOM",13530041,14839253,12949386,1309212,580655,3001647,0,2.1
"49","DZA",60048580,62017438,53251494,1968858,6797086,20177052,0.7,2.8
"50","ECU",22243291,24649779,19891713,2406488,2351578,6098923,0.1,2.4
"51","EGY",146059112,154449688,133414058,8390576,12645054,52280940,0,2.3
"52","ERI",9245064,11913872,6630370,2668808,2614694,4452146,0,3
"53","ESP",44569125,44604454,39076815,35329,5492310,-1878572,0.9,0
"54","EST",1151265,1176928,1125839,25663,25426,-164142,1.8,0
