"male_30.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.019948493,0.018900267,0.017852041,0.016803814,0.015755588,0.014707362,0.014255174,0.013802986,0.013350797,0.012898609,0.012446421,0.012086825,0.011727228,0.011367632,0.011008035,0.010648439,0.010413214,0.01017799,0.009942765,0.009707541,0.009472316,0.009194285,0.008916253,0.008638222,0.008360191,0.008082159,0.007748379,0.007414598,0.007080817,0.006747036,0.006413256,0.006359373,0.00630549,0.006251607,0.006197724,0.006143842,0.006090988,0.006038135,0.005985282,0.005932428,0.005879575,0.005862207,0.00584484,0.005827472,0.005810104,0.005792736,0.005738812,0.005684888,0.005630964,0.005577039,0.005523115,0.005413201,0.005303287,0.005193373,0.005083459,0.004973545,0.004876588,0.004779632,0.004682675,0.004585718,0.004488761,0.004391804,0.004294847,0.00419789,0.004100933,0.004003976
"AFG",0.082863252,0.081409494,0.079955737,0.078501979,0.077048222,0.075594464,0.074381697,0.07316893,0.071956163,0.070743396,0.069530629,0.068432695,0.067334761,0.066236827,0.065138893,0.064040959,0.062986241,0.061931523,0.060876804,0.059822086,0.058767368,0.057644445,0.056521522,0.0553986,0.054275677,0.053152754,0.051859744,0.050566734,0.049273725,0.047980715,0.046687705,0.045250686,0.043813667,0.042376647,0.040939628,0.039502609,0.038164336,0.036826063,0.035487789,0.034149516,0.032811243,0.032041612,0.031271982,0.030502351,0.029732721,0.02896309,0.028123353,0.027283616,0.026443878,0.025604141,0.024764404,0.023859131,0.022953859,0.022048586,0.021143314,0.020238041,0.019636195,0.01903435,0.018432504,0.017830659,0.017228813,0.016626967,0.016025122,0.015423276,0.014821431,0.014219585
"AGO",0.06921005,0.068713917,0.068217784,0.067721651,0.067225518,0.066729385,0.066081488,0.06543359,0.064785693,0.064137795,0.063489898,0.062711816,0.061933734,0.061155652,0.06037757,0.059599488,0.05882786,0.058056233,0.057284605,0.056512978,0.05574135,0.055049307,0.054357264,0.053665221,0.052973178,0.052281135,0.052070282,0.051859428,0.051648575,0.051437721,0.051226868,0.051053739,0.05088061,0.050707482,0.050534353,0.050361224,0.05019041,0.050019597,0.049848783,0.04967797,0.049507156,0.048686509,0.047865861,0.047045214,0.046224566,0.045403919,0.043990067,0.042576215,0.041162364,0.039748512,0.03833466,0.036880477,0.035426294,0.033972111,0.032517928,0.031063745,0.029978625,0.028893505,0.027808384,0.026723264,0.025638144,0.024553024,0.023467904,0.022382783,0.021297663,0.020212543
"ALB",0.019474721,0.018562798,0.017650875,0.016738951,0.015827028,0.014915105,0.013985728,0.01305635,0.012126973,0.011197595,0.010268218,0.010357534,0.01044685,0.010536165,0.010625481,0.010714797,0.010887361,0.011059926,0.01123249,0.011405055,0.011577619,0.011222268,0.010866916,0.010511565,0.010156213,0.009800862,0.009644975,0.009489089,0.009333203,0.009177317,0.00902143,0.009068869,0.009116308,0.009163747,0.009211186,0.009258624,0.009516929,0.009775234,0.010033539,0.010291843,0.010550148,0.010242741,0.009935335,0.009627928,0.009320522,0.009013115,0.008791117,0.00856912,0.008347122,0.008125125,0.007903127,0.007449872,0.006996617,0.006543362,0.006090108,0.005636853,0.005423195,0.005209538,0.004995881,0.004782223,0.004568566,0.004354909,0.004141251,0.003927594,0.003713937,0.003500279
"ARE",0.039534,0.0375952,0.0356564,0.0337176,0.0317788,0.02984,0.0283826,0.0269252,0.0254678,0.0240104,0.022553,0.0214716,0.0203902,0.0193088,0.0182274,0.017146,0.01635,0.015554,0.014758,0.013962,0.013166,0.0125836,0.0120012,0.0114188,0.0108364,0.010254,0.0098308,0.0094076,0.0089844,0.0085612,0.008138,0.0078312,0.0075244,0.0072176,0.0069108,0.006604,0.0063812,0.0061584,0.0059356,0.0057128,0.00549,0.005317,0.005144,0.004971,0.004798,0.004625,0.0044884,0.0043518,0.0042152,0.0040786,0.003942,0.0038364,0.0037308,0.0036252,0.0035196,0.003414,0.003350262,0.003286524,0.003222786,0.003159048,0.00309531,0.003031572,0.002967834,0.002904096,0.002840358,0.00277662
"ARG",0.01545,0.015076,0.014702,0.014328,0.013954,0.01358,0.013558,0.013536,0.013514,0.013492,0.01347,0.01343,0.01339,0.01335,0.01331,0.01327,0.013048,0.012826,0.012604,0.012382,0.01216,0.011946,0.011732,0.011518,0.011304,0.01109,0.010852,0.010614,0.010376,0.010138,0.0099,0.009818,0.009736,0.009654,0.009572,0.00949,0.009424,0.009358,0.009292,0.009226,0.00916,0.0094,0.00964,0.00988,0.01012,0.01036,0.010282,0.010204,0.010126,0.010048,0.00997,0.009802829,0.009635659,0.009468488,0.009301318,0.009134147,0.009017177,0.008900207,0.008783237,0.008666267,0.008549297,0.008432327,0.008315357,0.008198387,0.008081417,0.007964447
"ARM",0.018146449,0.017489288,0.016832127,0.016174966,0.015517805,0.014860644,0.014292224,0.013723803,0.013155383,0.012586962,0.012018542,0.01161621,0.011213878,0.010811547,0.010409215,0.010006883,0.009755659,0.009504435,0.009253211,0.009001987,0.008750763,0.008860803,0.008970843,0.009080883,0.009190923,0.009300963,0.009278662,0.009256361,0.009234061,0.00921176,0.009189459,0.00966733,0.010145201,0.010623071,0.011100942,0.011578813,0.012221396,0.012863978,0.013506561,0.014149143,0.014791726,0.014203499,0.013615272,0.013027045,0.012438818,0.011850591,0.011283683,0.010716775,0.010149868,0.00958296,0.009016052,0.008901913,0.008787775,0.008673636,0.008559497,0.008445358,0.008096314,0.00774727,0.007398226,0.007049182,0.006700138,0.006351094,0.00600205,0.005653006,0.005303962,0.004954918
"ATG",0.0210926,0.020576336,0.020060072,0.019543808,0.019027544,0.01851128,0.018191074,0.017870868,0.017550662,0.017230456,0.01691025,0.016747706,0.016585162,0.016422618,0.016260074,0.01609753,0.015942322,0.015787114,0.015631906,0.015476698,0.01532149,0.015173444,0.015025398,0.014877352,0.014729306,0.01458126,0.014440926,0.014300592,0.014160258,0.014019924,0.01387959,0.013744236,0.013608882,0.013473528,0.013338174,0.01320282,0.013074996,0.012947172,0.012819348,0.012691524,0.0125637,0.012443386,0.012323072,0.012202758,0.012082444,0.01196213,0.011847002,0.011731874,0.011616746,0.011501618,0.01138649,0.011276522,0.011166554,0.011056586,0.010946618,0.01083665,0.010701686,0.010566722,0.010431758,0.010296794,0.01016183,0.010026866,0.009891902,0.009756938,0.009621974,0.00948701
"AUS",0.009188984,0.009180077,0.00917117,0.009162263,0.009153356,0.009144449,0.009015568,0.008886688,0.008757807,0.008628927,0.008500046,0.008417847,0.008335648,0.008253449,0.008171249,0.00808905,0.007926087,0.007763124,0.007600161,0.007437198,0.007274235,0.00716699,0.007059745,0.006952499,0.006845254,0.006738009,0.006653459,0.00656891,0.00648436,0.00639981,0.006315261,0.006386802,0.006458343,0.006529884,0.006601425,0.006672966,0.006685846,0.006698725,0.006711605,0.006724485,0.006737364,0.006792986,0.006848608,0.00690423,0.006959852,0.007015474,0.006766068,0.006516663,0.006267258,0.006017853,0.005768448,0.005617327,0.005466206,0.005315085,0.005163964,0.005012844,0.004912104,0.004811365,0.004710625,0.004609886,0.004509147,0.004408407,0.004307668,0.004206928,0.004106189,0.00400545
"AUT",0.010811638,0.010938458,0.011065278,0.011192097,0.011318917,0.011445737,0.011246011,0.011046284,0.010846558,0.010646831,0.010447105,0.010444279,0.010441453,0.010438626,0.0104358,0.010432974,0.010294227,0.01015548,0.010016732,0.009877985,0.009739238,0.009637266,0.009535294,0.009433322,0.00933135,0.009229378,0.00906559,0.008901802,0.008738015,0.008574227,0.008410439,0.008268546,0.008126653,0.00798476,0.007842867,0.007700974,0.00751239,0.007323805,0.007135221,0.006946636,0.006758052,0.006478664,0.006199276,0.005919887,0.005640499,0.005361111,0.005198894,0.005036676,0.004874459,0.004712241,0.004550024,0.004441474,0.004332924,0.004224374,0.004115824,0.004007274,0.003908419,0.003809564,0.00371071,0.003611855,0.003513,0.003414145,0.00331529,0.003216436,0.003117581,0.003018726
