"","country","Base","Max","Min","Max.Base","Max.Min","Growth","Max.Var","Min.Var"
"1","AGO",49049314,65802847,42200825,16753533,6848489,21190009,0,2.5
"2","BDI",22376757,27604372,17724327,5227615,4652430,12177487,0,3
"3","BEN",20447037,23799519,18684669,3352482,1762368,9871085,0,3
"4","BFA",44800230,48802414,39921312,4002184,4878918,26689606,0,3
"5","BWA",3204896,3386979,2931913,182083,272983,995699,2.4,0.1
"6","CAF",7932764,8470213,7356542,537449,576222,3386664,0,2.9
"7","CIV",45220204,49556836,38918833,4336632,6301371,22111732,0.3,3
"8","CMR",41845358,50348883,37762603,8503525,4082755,19010836,0,2.6
"9","COD",143936095,210465632,111226396,66529537,32709699,67739476,0,2.2
"10","COG",8615325,10669425,7365609,2054100,1249716,3619677,0,2.6
"11","COM",1592634,1824356,1302291,231722,290343,815210,0,3
"12","CPV",695606,781428,639031,85822,56575,162693,0,3
"13","ERI",9245064,11913872,6630370,2668808,2614694,4452146,0,3
"14","ETH",214822780,231842599,198257955,17019819,16564825,114949747,0,3
"15","GAB",3069499,3384244,2760384,314745,309115,1139324,0,2.3
"16","GHA",52121252,55997440,44967820,3876188,7153432,24538431,0,3
"17","GIN",22386037,28781232,19799944,6395195,2586093,10294504,0,3
"18","GMB",3997858,5086397,2985587,1088539,1012271,2020268,0,2.9
"19","GNB",3465055,3945219,2871606,480164,593449,1694529,0,3
"20","GNQ",2210410,2470646,2165427,260236,44983,1035021,1.8,0.1
"21","KEN",93452360,112678317,74351453,19225957,19100907,46216101,0,2.7
"22","LBR",9250860,10689573,6952738,1438713,2298122,4751239,0,2.9
"23","LSO",3292140,3351251,3147526,59111,144614,1117495,2.7,0.2
"24","MDG",50077003,57509461,41990462,7432458,8086541,25842915,0,3
"25","MLI",41312244,50754269,30125583,9442025,11186661,23844339,0,3
"26","MOZ",59908112,65903063,49673425,5994951,10234687,31897421,0,3
"27","MRT",8138926,9593225,6384813,1454299,1754113,3956585,0,3
"28","MUS",1224841,1235798,1212545,10957,12296,-37764,3,0
"29","MWI",41862363,49887289,29577960,8024926,12284403,24288756,0,2.7
"30","NAM",3734175,4125759,3432679,391584,301496,1308614,0,3
"31","NER",60918053,70639944,42476877,9721891,18441176,41021088,0,3
"32","NGA",319933539,393065797,261836857,73132258,58096682,138751795,0.1,3
"33","RWA",24041538,25510357,22618120,1468819,1423418,12411985,0,3
"34","SEN",34114094,39023039,26151793,4908945,7962301,19137100,0,3
"35","SLE",13418703,15051305,11532937,1632602,1885766,6181678,0,2.9
"36","SOM",24167030,40888743,20357956,16721713,3809074,10258901,0,3
"37","STP",359777,450321,269610,90544,90167,164224,0,2.6
"38","SWZ",1931517,2070624,1732959,139107,198558,612506,0.3,3
"39","SYC",108825,118218,104554,9393,4271,15406,3,1.1
"40","TCD",34044153,37589627,28400561,3545474,5643592,20034740,0,3
"41","TGO",14996422,16935864,14253209,1939442,743213,7579620,0,3
"42","TZA",126193794,135225131,112190213,9031337,14003581,72313837,0,3
"43","UGA",101772508,116660810,75286689,14888302,26485819,61627638,0,2.7
"44","ZAF",69710452,75277696,65787402,5567244,3923050,14698475.32,2.4,2.8
"45","ZMB",33564044,44522711,24337197,10958667,9226847,17463457,0,3
"46","ZWE",28191456,28645562,23366915,454106,4824541,12414005,2.1,0.6
