"","country","uncertainty","growth"
"1","ABW",0.0813869907323104,-8108
"2","AFG",0.998378225075789,46090380
"3","AGO",0.847186317103029,21190009
"4","ALB",0.0720251271998536,116527
"5","ARE",0.115468661619422,7850005
"6","ARG",0.102998760991037,8928240
"7","ARM",0.149492106481085,-249486
"8","ATG",0.0865866717372377,13998
"9","AUS",0.0651188780452823,4544790
"10","AUT",0.0248237929779899,-559918
"11","AZE",0.258377644649515,1338611
"12","BDI",0.968701191359774,12177487
"13","BEL",0.0799323517171424,708112
"14","BEN",0.483630220712046,9871085
"15","BFA",0.490380784229191,26689606
"16","BGD",0.0692371752845081,50680637
"17","BGR",0.0385770893276406,-1616814
"18","BHR",0.0994609488612135,946287
"19","BHS",0.0843272894596705,72917
"20","BIH",0.0722584327146142,-414538
"21","BLR",0.146054065833644,-1443912
"22","BLZ",0.350072922001291,115915
"23","BOL",0.176319068916115,4846211
"24","BRA",0.0343909861322647,26619815
"25","BRB",0.0400011259002804,-12676
"26","BRN",0.177900666280278,143796
"27","BTN",0.42827152121069,35558
"28","BWA",0.205987062267421,995699
"29","CAF",0.244972833857592,3386664
"30","CAN",0.0630422490579133,1962277
"31","CHE",0.0470279373263486,216541
"32","CHL",0.0552686275230637,1446197
"33","CHN",0.156255021076122,-89152341
"34","CIV",0.460350775248143,22111732
"35","CMR",0.551195247266398,19010836
"36","COD",1.30240996651046,67739476
"37","COG",0.661338829317038,3619677
"38","COL",0.0464937089218894,7739715
"39","COM",0.671531879643541,815210
"40","CPV",0.267204965913761,162693
"41","CRI",0.0640344170328038,727627
"42","CUB",0.0783152576397085,-205236
"43","CYP",0.0470040525932721,74118
"44","CZE",0.0186292339157215,-1272520
"45","DEU",0.0225557282575966,-9544956
"46","DJI",0.067344249709407,579554
"47","DNK",0.0284162018255355,-116437
"48","DOM",0.179501925934763,3001647
"49","DZA",0.219854729419951,20177052
"50","ECU",0.294719867634335,6098923
"51","EGY",0.224312647083801,52280940
"52","ERI",1.10235601777456,4452146
"53","ESP",0.11900781646935,-1878572
"54","EST",0.0388389297000852,-164142
"55","ETH",0.336273396243008,114949747
"56","FIN",0.0635154724008314,101887
"57","FJI",0.354678422550493,133547
"58","FRA",0.0859681819489017,6968193
"59","FSM",0.826357568967663,58703
